filename,classe1,classe2,classe3,classe4,fundo,iluminação,tamanho base,resolução,total imagens
meanfilter_grayscale_040.jpg,garrafa,garfo,faca,saleiro,branco,dia-sombra,,,
meanfilter_grayscale_094.jpg,caneta,apontador,grampos,tesoura,madeira,noite-escuro,,,
meanfilter_grayscale_013.jpg,perfume,colar,batom,bailarina,branco,claro,,,
meanfilter_grayscale_077.jpg,caneta,apontador,grampos,tesoura,branco,dia-escuro,,,
meanfilter_grayscale_056.jpg,garrafa,garfo,faca,saleiro,amarelo,estourado,,,
meanfilter_grayscale_018.jpg,perfume,colar,batom,bailarina,branco,escuro,,,
meanfilter_grayscale_029.jpg,perfume,colar,batom,bailarina,amarelo,dia-escuro,,,
meanfilter_grayscale_027.jpg,perfume,colar,batom,bailarina,amarelo,dia-claro,,,
meanfilter_grayscale_079.jpg,caneta,apontador,grampos,tesoura,branco,noite-claro,,,
meanfilter_grayscale_044.jpg,garrafa,garfo,faca,saleiro,branco,escuro,,,
meanfilter_grayscale_051.jpg,garrafa,garfo,faca,saleiro,amarelo,dia-sol,,,
meanfilter_grayscale_007.jpg,perfume,colar,batom,bailarina,madeira,noite-escuro,,,
meanfilter_grayscale_065.jpg,garrafa,garfo,faca,saleiro,preto,dia-escuro,,,
meanfilter_grayscale_012.jpg,perfume,colar,batom,bailarina,madeira,noite-claro,,,
meanfilter_grayscale_067.jpg,garrafa,garfo,faca,saleiro,preto,noite-claro,,,
meanfilter_grayscale_062.jpg,garrafa,garfo,faca,saleiro,preto,dia-claro,,,
meanfilter_grayscale_092.jpg,caneta,apontador,grampos,tesoura,madeira,noite-claro,,,
meanfilter_grayscale_041.jpg,garrafa,garfo,faca,saleiro,branco,dia-sombra,,,
meanfilter_grayscale_072.jpg,garrafa,garfo,faca,saleiro,preto,noite-escuro,,,
meanfilter_grayscale_026.jpg,perfume,colar,batom,bailarina,amarelo,dia-claro,,,
meanfilter_grayscale_091.jpg,caneta,apontador,grampos,tesoura,madeira,noite-claro,,,
meanfilter_grayscale_021.jpg,perfume,colar,batom,bailarina,branco,estourado,,,
meanfilter_grayscale_061.jpg,garrafa,garfo,faca,saleiro,preto,dia-claro,,,
meanfilter_grayscale_053.jpg,garrafa,garfo,faca,saleiro,amarelo,dia-sombra,,,
meanfilter_grayscale_063.jpg,garrafa,garfo,faca,saleiro,preto,dia-claro,,,
meanfilter_grayscale_096.jpg,caneta,apontador,grampos,tesoura,madeira,noite-escuro,,,
meanfilter_grayscale_006.jpg,perfume,colar,batom,bailarina,madeira,dia-escuro,,,
meanfilter_grayscale_105.jpg,caneta,apontador,grampos,tesoura,estampado,noite-claro,,,
meanfilter_grayscale_076.jpg,caneta,apontador,grampos,tesoura,branco,dia-escuro,,,
meanfilter_grayscale_050.jpg,garrafa,garfo,faca,saleiro,amarelo,dia-sol,,,
meanfilter_grayscale_093.jpg,caneta,apontador,grampos,tesoura,madeira,noite-claro,,,
meanfilter_grayscale_086.jpg,caneta,apontador,grampos,tesoura,madeira,dia-claro,,,
meanfilter_grayscale_003.jpg,perfume,colar,batom,bailarina,madeira,dia-claro,,,
meanfilter_grayscale_001.jpg,perfume,colar,batom,bailarina,madeira,dia-claro,"481,8 MB",3072 x 4096,108.0
meanfilter_grayscale_037.jpg,garrafa,garfo,faca,saleiro,branco,dia-sol,,,
meanfilter_grayscale_100.jpg,caneta,apontador,grampos,tesoura,estampado,dia-escuro,,,
meanfilter_grayscale_033.jpg,perfume,colar,batom,bailarina,amarelo,noite-claro,,,
meanfilter_grayscale_020.jpg,perfume,colar,batom,bailarina,branco,estourado,,,
meanfilter_grayscale_039.jpg,garrafa,garfo,faca,saleiro,branco,dia-sol,,,
meanfilter_grayscale_031.jpg,perfume,colar,batom,bailarina,amarelo,noite-claro,,,
meanfilter_grayscale_108.jpg,caneta,apontador,grampos,tesoura,estampado,noite-escuro,,,
meanfilter_grayscale_038.jpg,garrafa,garfo,faca,saleiro,branco,dia-sol,,,
meanfilter_grayscale_058.jpg,garrafa,garfo,faca,saleiro,amarelo,escuro,,,
meanfilter_grayscale_069.jpg,garrafa,garfo,faca,saleiro,preto,noite-claro,,,
meanfilter_grayscale_025.jpg,perfume,colar,batom,bailarina,amarelo,dia-claro,,,
meanfilter_grayscale_035.jpg,perfume,colar,batom,bailarina,amarelo,noite-escuro,,,
meanfilter_grayscale_016.jpg,perfume,colar,batom,bailarina,branco,escuro,,,
meanfilter_grayscale_085.jpg,caneta,apontador,grampos,tesoura,madeira,dia-claro,,,
meanfilter_grayscale_030.jpg,perfume,colar,batom,bailarina,amarelo,dia-escuro,,,
meanfilter_grayscale_047.jpg,garrafa,garfo,faca,saleiro,branco,estourado,,,
meanfilter_grayscale_011.jpg,perfume,colar,batom,bailarina,madeira,noite-claro,,,
meanfilter_grayscale_084.jpg,caneta,apontador,grampos,tesoura,branco,noite-escuro,,,
meanfilter_grayscale_032.jpg,perfume,colar,batom,bailarina,amarelo,noite-claro,,,
meanfilter_grayscale_034.jpg,perfume,colar,batom,bailarina,amarelo,noite-escuro,,,
meanfilter_grayscale_060.jpg,garrafa,garfo,faca,saleiro,amarelo,escuro,,,
meanfilter_grayscale_022.jpg,perfume,colar,batom,bailarina,branco,luzartificial,,,
meanfilter_grayscale_068.jpg,garrafa,garfo,faca,saleiro,preto,noite-claro,,,
meanfilter_grayscale_101.jpg,caneta,apontador,grampos,tesoura,estampado,dia-escuro,,,
meanfilter_grayscale_005.jpg,perfume,colar,batom,bailarina,madeira,dia-escuro,,,
meanfilter_grayscale_089.jpg,caneta,apontador,grampos,tesoura,madeira,dia-escuro,,,
meanfilter_grayscale_028.jpg,perfume,colar,batom,bailarina,amarelo,dia-escuro,,,
meanfilter_grayscale_057.jpg,garrafa,garfo,faca,saleiro,amarelo,estourado,,,
meanfilter_grayscale_017.jpg,perfume,colar,batom,bailarina,branco,escuro,,,
meanfilter_grayscale_090.jpg,caneta,apontador,grampos,tesoura,madeira,dia-escuro,,,
meanfilter_grayscale_098.jpg,caneta,apontador,grampos,tesoura,estampado,dia-claro,,,
meanfilter_grayscale_066.jpg,garrafa,garfo,faca,saleiro,preto,dia-escuro,,,
meanfilter_grayscale_103.jpg,caneta,apontador,grampos,tesoura,estampado,noite-claro,,,
meanfilter_grayscale_073.jpg,caneta,apontador,grampos,tesoura,branco,dia-claro,,,
meanfilter_grayscale_106.jpg,caneta,apontador,grampos,tesoura,estampado,noite-escuro,,,
meanfilter_grayscale_010.jpg,perfume,colar,batom,bailarina,madeira,noite-claro,,,
meanfilter_grayscale_088.jpg,caneta,apontador,grampos,tesoura,madeira,dia-escuro,,,
meanfilter_grayscale_055.jpg,garrafa,garfo,faca,saleiro,amarelo,estourado,,,
meanfilter_grayscale_015.jpg,perfume,colar,batom,bailarina,branco,claro,,,
meanfilter_grayscale_009.jpg,perfume,colar,batom,bailarina,madeira,noite-escuro,,,
meanfilter_grayscale_080.jpg,caneta,apontador,grampos,tesoura,branco,noite-claro,,,
meanfilter_grayscale_052.jpg,garrafa,garfo,faca,saleiro,amarelo,dia-sombra,,,
meanfilter_grayscale_023.jpg,perfume,colar,batom,bailarina,branco,luzartificial,,,
